013:[CLASS] class
056:[TYPE] String
056:[RPAREN] )
056:[COLON] :
056:[TYPE] Int
056:[LBRACE] {
057:[IF] if
057:[ID] s
057:[DOT] .
057:[ID] length
057:[LPAREN] (
057:[RPAREN] )
057:[EQUAL] =
057:[INTEGER] 0
057:[THEN] then
057:[INTEGER] 0
057:[ELSE] else
058:[IF] if
058:[ID] s
058:[DOT] .
058:[ID] substr
058:[LPAREN] (
058:[INTEGER] 0
058:[COMMA] ,
058:[INTEGER] 1
058:[RPAREN] )
058:[EQUAL] =
058:[STRING] "-"
058:[THEN] then
058:[NEG] ~
058:[ID] a2i_aux
058:[LPAREN] (
058:[ID] s
058:[DOT] .
058:[ID] substr
058:[LPAREN] (
058:[INTEGER] 1
058:[COMMA] ,
058:[ID] s
058:[DOT] .
058:[ID] length
058:[LPAREN] (
058:[RPAREN] )
058:[MINUS] -
058:[INTEGER] 1
058:[RPAREN] )
058:[RPAREN] )
058:[ELSE] else
059:[IF] if
059:[ID] s
059:[DOT] .
059:[ID] substr
059:[LPAREN] (
059:[INTEGER] 0
059:[COMMA] ,
059:[INTEGER] 1
059:[RPAREN] )
059:[EQUAL] =
059:[STRING] "+"
059:[THEN] then
059:[ID] a2i_aux
059:[LPAREN] (
059:[ID] s
059:[DOT] .
059:[ID] substr
059:[LPAREN] (
059:[INTEGER] 1
059:[COMMA] ,
059:[ID] s
059:[DOT] .
059:[ID] length
059:[LPAREN] (
059:[RPAREN] )
059:[MINUS] -
059:[INTEGER] 1
059:[RPAREN] )
059:[RPAREN] )
059:[ELSE] else
060:[ID] a2i_aux
060:[LPAREN] (
060:[ID] s
060:[RPAREN] )
061:[FI] fi
061:[FI] fi
061:[FI] fi
062:[RBRACE] }
062:[SEMICOLON] ;
068:[ID] a2i_aux
068:[LPAREN] (
068:[ID] s
068:[COLON] :
068:[TYPE] String
068:[RPAREN] )
068:[COLON] :
068:[TYPE] Int
068:[LBRACE] {
069:[LPAREN] (
069:[LET] let
069:[ID] int
069:[COLON] :
069:[TYPE] Int
069:[ASSIGN] <-
069:[INTEGER] 0
069:[IN] in
070:[LBRACE] {
071:[LPAREN] (
071:[LET] let
071:[ID] j
071:[COLON] :
071:[TYPE] Int
071:[ASSIGN] <-
071:[ID] s
071:[DOT] .
071:[ID] length
071:[LPAREN] (
071:[RPAREN] )
071:[IN] in
072:[LPAREN] (
072:[LET] let
072:[ID] i
072:[COLON] :
072:[TYPE] Int
072:[ASSIGN] <-
072:[INTEGER] 0
072:[IN] in
073:[WHILE] while
073:[ID] i
073:[LT] <
073:[ID] j
073:[LOOP] loop
074:[LBRACE] {
075:[ID] int
075:[ASSIGN] <-
075:[ID] int
075:[MUL] *
075:[INTEGER] 10
075:[PLUS] +
075:[ID] c2i
075:[LPAREN] (
075:[ID] s
075:[DOT] .
075:[ID] substr
075:[LPAREN] (
075:[ID] i
075:[COMMA] ,
075:[INTEGER] 1
075:[RPAREN] )
075:[RPAREN] )
075:[SEMICOLON] ;
076:[ID] i
076:[ASSIGN] <-
076:[ID] i
076:[PLUS] +
076:[INTEGER] 1
076:[SEMICOLON] ;
077:[RBRACE] }
078:[POOL] pool
079:[RPAREN] )
080:[RPAREN] )
080:[SEMICOLON] ;
081:[ID] int
081:[SEMICOLON] ;
082:[RBRACE] }
083:[RPAREN] )
084:[RBRACE] }
084:[SEMICOLON] ;
090:[ID] i2a
090:[LPAREN] (
090:[ID] i
090:[COLON] :
090:[TYPE] Int
090:[RPAREN] )
090:[COLON] :
090:[TYPE] String
090:[LBRACE] {
091:[IF] if
091:[ID] i
091:[EQUAL] =
091:[INTEGER] 0
091:[THEN] then
091:[STRING] "0"
091:[ELSE] else
092:[IF] if
092:[INTEGER] 0
092:[LT] <
092:[ID] i
092:[THEN] then
092:[ID] i2a_aux
092:[LPAREN] (
092:[ID] i
092:[RPAREN] )
092:[ELSE] else
093:[STRING] "-"
093:[DOT] .
093:[ID] concat
093:[LPAREN] (
093:[ID] i2a_aux
093:[LPAREN] (
093:[ID] i
093:[MUL] *
093:[NEG] ~
093:[INTEGER] 1
093:[RPAREN] )
093:[RPAREN] )
094:[FI] fi
094:[FI] fi
095:[RBRACE] }
095:[SEMICOLON] ;
100:[ID] i2a_aux
100:[LPAREN] (
100:[ID] i
100:[COLON] :
100:[TYPE] Int
100:[RPAREN] )
100:[COLON] :
100:[TYPE] String
100:[LBRACE] {
101:[IF] if
101:[ID] i
101:[EQUAL] =
101:[INTEGER] 0
101:[THEN] then
101:[STRING] ""
101:[ELSE] else
102:[LPAREN] (
102:[LET] let
102:[ID] next
102:[COLON] :
102:[TYPE] Int
102:[ASSIGN] <-
102:[ID] i
102:[DIV] /
102:[INTEGER] 10
102:[IN] in
103:[ID] i2a_aux
103:[LPAREN] (
103:[ID] next
103:[RPAREN] )
103:[DOT] .
103:[ID] concat
103:[LPAREN] (
103:[ID] i2c
103:[LPAREN] (
103:[ID] i
103:[MINUS] -
103:[ID] next
103:[MUL] *
103:[INTEGER] 10
103:[RPAREN] )
103:[RPAREN] )
104:[RPAREN] )
105:[FI] fi
106:[RBRACE] }
106:[SEMICOLON] ;
108:[RBRACE] }
108:[SEMICOLON] ;
